,Food Name,GI,Serving Size,Carb Serving,GL
688,"Parboiled rice, cooked 20 min, Uncle Ben's Natur-reis®",64,NaN,45,29
689,"Parboiled rice, long grain white Uncle Ben's®",54,NaN,45,24
690,"Parboiled, long-grain rice ",57,NaN,45,26
691,"Parboiled, long grain, 10 min cooking time (Uncle Ben's)",68,NaN,45,31
692,"Parboiled, long grain, 20 min cooking time (Uncle Ben's)",75,NaN,45,34
693,"Rice, parboiled, NS",51,NaN,45,23
694,"Parboiled rice, NS (Riso Blond Risotti)",53,NaN,45,24
695,"Parboiled rice, NS (Uncle Ben’s)",57,NaN,45,26
696,"Parboiled rice, NS (Riso Blond Veloce e Versatile)",61,NaN,45,27
697,"Parboiled rice, NS (Uncle Ben's)",72,NaN,45,32
698,"Parboiled rice, white, cooked 5 min, Uncle Ben's Snabbris®",74,NaN,45,33
699,"Rice, whole-meal, parboiled (Riso Blond Integrale)",56,NaN,45,25
700,"Durum wheat, precooked, cooked 20 min",52,NaN,45,23
701,"Durum wheat, precooked, cooked 10 min",50,NaN,45,23
702,"Durum wheat, precooked in pouch, reheated in microwave, Ebly Express",40,NaN,45,18
703,"Wheat, pearled ",72,NaN,45,32
704,Whole wheat powder,42,NaN,45,19
705,"Wheat flour, raw (2005 from Griffith NSW, Chara, Row10, Plot 6:181), consumed suspended in 250 mL water",22,NaN,45,10
706,"Wheat flour, raw, consumed suspended in water",20,NaN,45,9
707,"Beta Flour (oat, flaxseed, buckwheat, pearl barley, soybean and wheat flours), tested prepared with water, steamed",27,NaN,45,12
708,"Mixed cereals powder, NS",58,NaN,45,26
709,"3 Cereals (rice, oat, kamut)",41,NaN,45,18
710,"3 Cereals (rice, spelt, barley)",44,NaN,45,20
711,"Cereal powder, various cereals NS",58,NaN,45,26
712,"Teff, brown, boiled in water for 15 min",57,NaN,45,26
713,"Spelt, pearled (Farro)",63,NaN,45,28
714,"Apricot Temptation fruit cookies, 97% fat-free",47,NaN,20,9
715,Barquette Abricot,71,NaN,20,14
716,Bebe Dobre Rano Chocolate,46,NaN,20,9
717,Bebe Dobre Rano Chocolate,46,NaN,20,9
718,Bebe Dobre Rano Chocolate,57,NaN,20,11
719,Bebe Dobre Rano Coconut,48,NaN,20,10
720,Bebe Dobre Rano Four Cereals,51,NaN,20,10
721,Bebe Dobre Rano Honey and Hazelnuts,51,NaN,20,10
722,Bebe Dobre Rano Nuts and Honey ,41,NaN,20,8
723,Bebe Dobre Rano Nuts and Honey,45,NaN,20,9
724,Bebe Dobre Rano with Milk ,50,NaN,20,10
725,Bebe Jemne Susenky,67,NaN,20,13
726,Better Choice Multicereals,51,NaN,20,10
727,Better Choice Wholegrain,46,NaN,20,9
728,"Biscuit, Danone, NS",39,NaN,20,8
729,"Biscuit, Danone, NS",47,NaN,20,9
730,"Biscuit, NS",72,NaN,20,14
731,"Biscuit, thin, NS",81,NaN,20,16
732,"Biscuits, rolled oat, wholemeal wheat flour, wheat fibre ",49,NaN,20,10
733,"Biscuits, wheat flour, butter, cream ",52,NaN,20,10
734,"Biscuits, wheat flour, oat flour, wholemeal buckwheat flour (6.2%)",58,NaN,20,12
735,"Biscuit, wholegrain",54,NaN,20,11
736,"Biscuits, wholegrain, filled with peanut butter",44,NaN,20,9
737,"Breakfast biscuit (Frollino), gluten free",37,NaN,20,7
738,"Chocolate chip cookies, containing wheat flour and coconut flour ",44,NaN,20,9
739,"Cookie, fiber enriched",42,NaN,20,8
740,"Cookie, decreased GI variant (sugar-to-flour ratio: 0.45)",37,NaN,20,7
741,Digestives,39,NaN,20,8
742,Evergreen met Krenten,66,NaN,20,13
743,Fior di Latte (Mulino Bianco),47,NaN,20,9
744,Gemme Integrali (Mulino Bianco),46,NaN,20,9
745,Gingerbread cookies,66,NaN,20,13
746,Golden Flaxseed biscuits,36,NaN,20,7
747,Gran Cereale Cioccolato (Grancereale),52,NaN,20,10
748,Gran Cereale Frutta (Grancereale),51,NaN,20,10
749,Gran Cereale Classico (Grancereale),49,NaN,20,10
750,"Gran'Dia Banana, Oats and Honey",28,NaN,20,6
751,Gran'Dia Chocolate with five cereals,39,NaN,20,8
752,Grany en-cas Abricot,55,NaN,20,11
753,Grany en-cas Fruits des bois,50,NaN,20,10
754,Grany Rush Apricot ,62,NaN,20,12
755,"Grain biscuit, Mixed Berry flavor",55,NaN,20,11
756,"Grain biscuits, Milk & Cereal flavor",53,NaN,20,11
757,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli ,45,NaN,20,9
758,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli ,49,NaN,20,10
759,Györi Édes Jó reggelt! Müzlivel és gyümölccsel / Fruits and Muesli,47,NaN,20,9
760,Jo Reggelt Fruits and Figs,41,NaN,20,8
761,Jubilee Nuts and Honey,44,NaN,20,9
762,Jubilee Nuts and Honey ,45,NaN,20,9
763,Jyväshyvä Paussi Mysli and Fruits,45,NaN,20,9
764,Jyväshyvä Paussi Mysli and Fruits,49,NaN,20,10
765,Jyväshyvä Paussi Mysli and Fruits,47,NaN,20,9
766,Jyväshyvä Paussi Vanilla,55,NaN,20,11
767,Jyväshyvä Paussi Vanilla,39,NaN,20,8
768,Jyväshyvä Paussi Wholegrain,46,NaN,20,9
769,"Kingston, butternut cookies with chocolate filling",48,NaN,20,10
770,Leda Luxury gluten-free chocolate coated cookies,35,NaN,20,7
771,LU P'tit Déjeuner Chocolat,42,NaN,20,8
772,LU P'tit Déjeuner Miel et Pépites Chocolat,45,NaN,20,9
773,LU P'tit Déjeuner Miel et Pépites Chocolat,49,NaN,20,10
774,LU P'tit Déjeuner Miel et Pépites Chocolat,52,NaN,20,10
775,"LU Petit Dejeuner, Chocolate, low in sugar",51,NaN,20,10
776,LU Petit Dejeuner Chocolate & Cereals ,46,NaN,20,9
777,LU Petit Dejeuner Chocolate & Cereals,58,NaN,20,12
778,"LU Petit Dejeuner Cereals & Chocolate Chips, low in sugar",37,NaN,20,7
779,"LU Petit Dejeuner Coconut, nuts and chocolate",55,NaN,20,11
780,"LU Petit Dejeuner Coconut, nuts and chocolate",51,NaN,20,10
781,LU Petit Dejeuner Fruits and Muesli,45,NaN,20,9
782,LU Petit Dejeuner Fruits and Muesli,49,NaN,20,10
783,LU Petit Dejeuner Fruits and Muesli,47,NaN,20,9
784,LU Petit Dejeuner Honey & Chocolate chips,47,NaN,20,9
785,LU Petit Dejeuner Honey & Chocolate chips,46,NaN,20,9
786,LU Petit Dejeuner Milk and Cereals,55,NaN,20,11
787,LU Petit Dejeuner Milk and Cereals ,39,NaN,20,8
788,LU Petit Dejeuner Multicereals,46,NaN,20,9
789,LU Petit Dejeuner with Fruits and Figs,41,NaN,20,8
790,LU Petit Dejeuner with Prunes ,51,NaN,20,10
791,"Macaroons, containing wheat flour and with coconut flour",32,NaN,20,6
792,Maltmeal wafer ,50,NaN,20,10
793,Montana Chocolate Chip Cookies,43,NaN,20,9
794,Montana Chocolate Chip Cookies,42,NaN,20,8
795,Montana Chocolate Chip Cookies,42,NaN,20,8
796,Montana Chocolate Chip Cookies ,42,NaN,20,8
797,Montana Chocolate Chip Cookies,42,NaN,20,8
798,Montana Chocolate Chip Cookies,43,NaN,20,9
799,Montana Chocolate Chip Cookies,43,NaN,20,9
800,Montana Chocolate Chip Cookies,41,NaN,20,8
801,Nutrigrain Fruits des bois,57,NaN,20,11
802,Oat biscuit,45,NaN,20,9
803,Oat biscuit,55,NaN,20,11
804,"Oat biscuit, Nairn's™ Stem Ginger Oat Biscuit",55,NaN,20,11
805,Oro ,61,NaN,20,12
806,"Pavesini, Pavesi",52,NaN,20,10
807,Petiki Go ! Fruits and Muesli,45,NaN,20,9
808,Petiki Go ! Fruits and Muesli,49,NaN,20,10
809,Petiki Go ! Fruits and Muesli,47,NaN,20,9
810,Petit brun extra,77,NaN,20,15
811,Petit LU Normand,51,NaN,20,10
812,Petit LU Roussillon,48,NaN,20,10
813,President's Choice® Blue Menu™ Cranberry Orange Cookies,60,NaN,20,12
814,President's Choice® Blue Menu™ Crunchy Oat Cookies,62,NaN,20,12
815,President's Choice® Blue Menu™ Ginger & Lemon Cookies,64,NaN,20,13
816,Prince Energie+ ,73,NaN,20,15
817,Prince fourré chocolat ,50,NaN,20,10
818,Prince fourré chocolat ,53,NaN,20,11
819,Prince gout chocolat,53,NaN,20,11
820,Prince Petit Déj Cereals,52,NaN,20,10
821,Prince Petit Déj Cereals and Chocolate,51,NaN,20,10
822,Prince Petit Déjeuner Vanille,45,NaN,20,9
823,Principe megamanana vanilla ,45,NaN,20,9
824,Rich Tea Biscuit,40,NaN,20,8
825,Rotary-Molded biscuit,48,NaN,20,10
826,Rotary-Molded biscuit,47,NaN,20,9
827,Rotary-Molded biscuit,45,NaN,20,9
828,Sablé des Flandres,57,NaN,20,11
829,Sandwich Rotary-Molded biscuit,44,NaN,20,9
830,Sandwich Rotary-Molded biscuit,56,NaN,20,11
831,Sandwich Rotary-Molded biscuit,52,NaN,20,10
832,Segreti di Bosco (Mulino Bianco),53,NaN,20,11
833,"Snack Right Fruit Pillow, Apple and blackberry",43,NaN,20,9
834,"Snack Right Fruit Pillow, Spicy apple and sultana",45,NaN,20,9
835,"Snack Right Fruit Pillow, Wild berry",52,NaN,20,10
836,"Snack Right Fruit Slice, Mango and passionfruit",49,NaN,20,10
837,"Snack Right Fruit Slice, Mixed berry",50,NaN,20,10
838,"Snack Right Fruit Slice, Original Sultana (97% fat-free) ",48,NaN,20,10
839,"Snack Right Fruit Slice, Sultana with chocolate",45,NaN,20,9
840,Sweet biscuit,47,NaN,20,9
841,Sweet biscuit,63,NaN,20,13
842,Sweetmeal biscuit,39,NaN,20,8
843,Sweetmeal biscuit,42,NaN,20,8
844,Thé,41,NaN,20,8
845,Véritable Petit Beurre,51,NaN,20,10
846,Véritable Petit Beurre,54,NaN,20,11
847,Véritable Petit Beurre,54,NaN,20,11
848,Vitasnella frollini ,59,NaN,20,12
849,"BBQ Shapes, savory crackers ",48,NaN,15,7
850,Choice grain crackers,49,NaN,15,7
851,"Crispbread, soft wheat flour (54%), rye flour (36%), pumpkin seeds (7.5%) (Spianate croccanti con semi di zucca, Grancereale)",53,NaN,15,8
852,"Corn Thins, puffed corn cakes, gluten-free",87,NaN,15,13
853,Cracker,51,NaN,15,8
854,Cracker,61,NaN,15,9
855,Cracker,60,NaN,15,9
856,"Crackers, soft wheat flour, salty (Cracker integrali Sfoglia di grano, Mulino Bianco)",63,NaN,15,9
857,"Crackers, whole-meal soft wheat flour (Cracker salati Sfoglia di grano, Mulino Bianco)",63,NaN,15,9
858,Cream cracker ,64,NaN,15,10
859,Grain cracker,25,NaN,15,4
860,"Bread stick, Grissini Fibra Activa (with psyllium and oat)",52,NaN,15,8
861,"Bread stick, Grissini classici friabili (Mulino Bianco)",66,NaN,15,10
862,Herman Brot Protein Cheese Cracker,22,NaN,15,3
863,Herman Brot Protein Mediterranean Cracker,31,NaN,15,5
864,Herman Brot Protein Natural Cracker ,24,NaN,15,4
865,Herman Brot Protein Olive Cracker,29,NaN,15,4
866,Herman Brot Protein Spice Cracker,26,NaN,15,4
867,Herman Brot Protein Zatar Cracker,27,NaN,15,4
868,High-calcium cracker,52,NaN,15,8
869,"Melba toast/Rusk, wheat flour",64,NaN,15,10
870,"Melba toast/Rusk, soft wheat flour, whole-meal barley flour (10%), rolled oat (2%) (Fette biscottate Cuori di orzo, Mulino Bianco)",45,NaN,15,7
871,"Melba toast/Rusk, soft wheat flour, bran and rolled oat, with psyllium and soluble fibers",47,NaN,15,7
872,"Melba Toast/Rusk, whole-meal wheat flour (50.1%), soft wheat flour (Fette Biscottate Le Integrali, Mulino Bianco)",73,NaN,15,11
873,"Melba Toast/Rusk made with rice, oat, wheat, corn, barley and rye (Fette Biscottate Le cereal, Mulino Bianco)",69,NaN,15,10
874,9 Grain cracker,68,NaN,15,10
875,"Ancient Grains snack crackers, President's Choice® Blue Menu™",65,NaN,15,10
876,"Wheat & Onion snack crackers, President's Choice® Blue Menu™ ",60,NaN,15,9
877,"Wheat & Sesame snack crackers, President's Choice® Blue Menu™",56,NaN,15,8
878,"Wheat snack crackers, President's Choice® Blue Menu™  ",65,NaN,15,10
879,"Puffed rice cakes, Calrose rice, low-amylose",91,NaN,15,14
880,"Puffed rice cakes, Doongara rice, high-amylose",61,NaN,15,9
881,"Puffed rice cakes, caramel flavored",82,NaN,15,12
882,"Rice cracker, plain",91,NaN,15,14
883,Rye crackers with oats,64,NaN,15,10
884,Rye crackers with sesame,57,NaN,15,9
885,"Pumpkin Seeds & Oats cracker, Ryvita®",46,NaN,15,7
886,"Sunflower Seeds & Oats cracker, Ryvita® ",48,NaN,15,7
887,Wholewheat crackers with pumpkin and thyme,36,NaN,15,5
888,Wholegrain crackers with sesame seeds and rosemary,53,NaN,15,8
889,"Wholewheat sticks, crunchy, yeast extract flavored",50,NaN,15,8
890,"Custard, low-fat, vanilla flavored",29,NaN,20,6
891,"No Bake Egg Custard, prepared from powder with whole milk",35,NaN,20,7
892,"Reduced-fat custard, TRIM™",37,NaN,20,7
893,"Custard, low-fat, trifle flavored",30,NaN,20,6
894,"Crème fraiche dessert, peach",28,NaN,20,6
895,"Crème fraiche dessert, raspberry ",30,NaN,20,6
896,"Fromage Frais, red fruit: blackcurrant",22,NaN,20,4
897,"Fromage Frais, red fruit: raspberry ",31,NaN,20,6
898,"Fromage Frais, red fruit: red cherry",25,NaN,20,5
899,"Fromage Frais, red fruit: strawberry",29,NaN,20,6
900,"Fromage Frais, yellow fruit: mandarin and orange",19,NaN,20,4
901,"Fruche®, low-fat, apricot vanilla honey",34,NaN,20,7
902,"Fruche®, low-fat, berry compote",37,NaN,20,7
903,"Fruche®, low-fat, duet peach on pineapple",34,NaN,20,7
904,"Fruche®, low-fat, lemon sorbetto ",34,NaN,20,7
905,"Fruche®, low-fat, orange sorbetto",34,NaN,20,7
906,"Fruche®, low-fat, peach roulade",37,NaN,20,7
907,"Fruche® on Fruit, low-fat, toffee apple ",47,NaN,20,9
908,"Ice-cream, low-fat chocolate flavored, Chocollo™",24,NaN,20,5
909,"Ice cream, low-fat, Bulla Light Creamy vanilla",36,NaN,20,7
910,"Ice cream, low-fat, Bulla Light Real Dairy chocolate",27,NaN,20,5
911,"Ice cream, low-fat, Bulla Light Real Dairy English Toffee ",27,NaN,20,5
912,"Ice cream, low-fat, Bulla Light Real Dairy Mango ",30,NaN,20,6
913,"Ice cream, low-fat, Light & Creamy, Raspberry Ripple",55,NaN,20,11
914,"Ice-cream, low-fat,1.2% fat, Light Prestige rich vanilla ",47,NaN,20,9
915,"Ice-cream, low-fat, 1.4% fat, Light Prestige traditional toffee",37,NaN,20,7
916,"Ice-cream, reduced-fat, 7.1% fat, Prestige golden macadamia",37,NaN,20,7
917,"Ice cream, low-fat, vanilla, 'Light'",46,NaN,20,9
918,"Ice cream, low-fat, Blueberry Pomegranate flavor",32,NaN,20,6
919,"Ice cream, low-fat, Chocolate Toffee flavor",25,NaN,20,5
920,"Ice cream, low-fat, Coconut flavor ",39,NaN,20,8
921,"Ice cream, low-fat, Dutch Chocolate flavor",34,NaN,20,7
922,"Ice cream, low-fat, Mint Chip flavor ",34,NaN,20,7
923,"Ice cream, low-fat, Mocha flavor",37,NaN,20,7
924,"Ice cream, low-fat, Vanilla Bean flavor",39,NaN,20,8
925,"Ice cream, premium, Ultra chocolate, 15% fat ",37,NaN,20,7
926,"Ice cream, premium, French vanilla, 16% fat",38,NaN,20,8
927,"Ice-cream, , low-fat chocolate flavored Chocollo™, eaten with a plain cone",44,NaN,20,9
928,"Ice-cream, low-fat chocolate flavored, Chocollo™, eaten with a waffle cone",55,NaN,20,11
929,"Gelati, sucrose-free frozen dessert, chocolate flavor",37,NaN,20,7
930,"Gelati, sucrose-free frozen dessert, vanilla flavor",39,NaN,20,8
931,"Ice fruit confection, Frosty Fruits® Orange Mango Splits",59,NaN,20,12
932,"Kefir, low-fat, plain",36,NaN,20,4
933,"Kefir, low-fat strawberry",60,NaN,20,12
934,"Kefir, orange flavor",48,NaN,20,10
935,"Milk, condensed, sweetened",61,NaN,20,6
936,"Full-fat, milk",30,NaN,10,3
937,"Full-fat, pasteurized, fresh, organic milk ",34,NaN,10,3
938,"Full-fat, standardized, homogenized, pasteurized, British ",46,NaN,10,5
939,"Banana, honey and malt flavored milk",31,NaN,20,6
940,"Coffee chocolate flavored milk, Masters® mocha",32,NaN,20,6
941,"Milk, reduced fat",26,NaN,10,3
942,"Milk, semi-skimmed, pasteurized, organic",34,NaN,10,3
943,Pura™ HiLo milk,20,NaN,10,2
944,Pura™ Skimmer milk ,20,NaN,10,2
945,Pura™ Light Start milk ,30,NaN,10,3
946,Pura™ Tone milk,30,NaN,10,3
947,"Flavored milk, chocolate or strawberry, Big M™",37,NaN,20,7
948,"Flavored milk, chocolate or mocha, Masters® Light, 99% fat free",27,NaN,20,5
949,"Flavored milk, chocolate or strawberry, Masters®, reduced fat",35,NaN,20,7
950,"Flavored milk, Rush® Heavenly Vanilla Malt milk ",31,NaN,20,6
951,"Flavored milk, Rush® Intense Coffee milk",24,NaN,20,5
952,"Flavored milk, Rush® Ultimate Chocolate milk",26,NaN,20,5
953,"Flavored milk, Rush® Wicked Latte milk",26,NaN,20,5
954,"Milkshake, made from Chocollo™, low-fat chocolate ice cream, skim milk and malted milk powder",21,NaN,20,4
955,Nestlé Milo Combo mousse,42,NaN,20,8
956,Nestlé Milo flavored mousse,46,NaN,20,9
957,"Butterscotch, 1.9% fat, prepared from commercial mousse mix with water",36,NaN,20,7
958,"Chocolate, 2% fat, prepared from commercial mousse mix with water",31,NaN,20,6
959,"Citrus, prepared from commercial mousse mix with water",47,NaN,20,9
960,"Hazelnut, 2.4% fat, prepared from commercial mousse mix with water",36,NaN,20,7
961,"Mango, 1.8% fat, prepared from commercial mousse mix with water",33,NaN,20,7
962,"Mixed berry, 2.2% fat, prepared from commercial mousse mix with water",36,NaN,20,7
963,"Strawberry, 2.3% fat, prepared from commercial mousse mix with water",32,NaN,20,6
964,"Flavored milk pudding, chocolate (Danette al cioccolato)",51,NaN,20,10
965,"Flavored milk pudding, chocolate, made from powder and whole milk, instant",47,NaN,20,9
966,"Flavored milk pudding, vanilla, made from powder and whole milk, instant ",40,NaN,20,8
967,"Milk rice pudding, Yoplait Le Rice®, Apple & Cinnamon flavor",52,NaN,20,10
968,"Milk rice pudding, Yoplait Le Rice®, Apricot & Almond Muesli flavor",45,NaN,20,9
969,"Milk rice pudding, Yoplait Le Rice®, Caramel flavor ",41,NaN,20,8
970,"Milk rice pudding, Yoplait Le Rice®, Forest Berries flavor",45,NaN,20,9
971,"Milk rice pudding, Yoplait Le Rice®, Lemon Meringue flavor",54,NaN,20,11
972,"Milk rice pudding, Yoplait Le Rice®, Mocha flavor",46,NaN,20,9
973,"Milk rice pudding, Yoplait Le Rice®, Raspberry & Apple flavor",52,NaN,20,10
974,"Milk rice pudding, Yoplait Le Rice®, Strawberry flavor",54,NaN,20,11
975,"Milk rice pudding, Yoplait Le Rice®, Tropical Mango flavor ",54,NaN,20,11
976,"Milk rice pudding, Yoplait Le Rice®, Vanilla flavor ",43,NaN,20,9
977,"Yoghurt, black cherry",17,NaN,20,3
978,"Yoghurt, black cherry ",67,NaN,20,13
979,"Yoghurt, bourbon vanilla",64,NaN,20,13
980,"Yoghurt, Devonshire fudge",37,NaN,20,7
981,"Yoghurt, Greek style, honey topped (UK)",36,NaN,20,7
982,"Yoghurt, Jalna Premium Creamy Vanilla",18,NaN,20,4
983,"Yoghurt, lemon curd",67,NaN,20,13
984,"Yoghurt, peach & apricot",28,NaN,20,6
985,"Yoghurt, raspberry",43,NaN,20,9
986,"Yoghurt, red fruit: Morello cherry ",35,NaN,20,7
987,"Yoghurt, red fruit: raspberry and black cherry ",37,NaN,20,7
988,"Yoghurt, Scottish raspberry",32,NaN,20,6
989,"Yoghurt, strawberry",30,NaN,20,6
990,"Yoghurt, strawberry",44,NaN,20,9
991,"Yoghurt, strawberry and cream",41,NaN,20,8
992,"Yoghurt, summer fruit: apricot",11,NaN,20,2
993,"Yoghurt, summer fruit: peach and vanilla ",26,NaN,20,5
994,"Yoghurt, summer fruit: raspberry",28,NaN,20,6
995,"Yoghurt, summer fruit: strawberry",36,NaN,20,7
996,"Yoghurt, tropical fruit: guava and passionfruit",24,NaN,20,5
997,"Yoghurt, tropical fruit: mango ",32,NaN,20,6
998,"Yoghurt, tropical fruit: peach and apricot ",27,NaN,20,5
999,"Yoghurt, tropical pineapple",38,NaN,20,8
1000,"Yoghurt, Valencia orange",34,NaN,20,7
1001,"Yoghurt, Yitangping ",21,NaN,20,4
1002,"Mochaccino frozen yoghurt, President's Choice® Blue Menu™ brand",51,NaN,20,10
1003,"Strawberry Banana frozen yoghurt, President's Choice® Blue Menu™ brand",55,NaN,20,11
1004,"Vanilla frozen yoghurt, President's Choice® Blue Menu™ brand",46,NaN,20,9
1005,"Diet Passionfruit yoghurt, Dairy Dream",21,NaN,20,4
1006,"Diet Raspberry yoghurt, Dairy Dream",21,NaN,20,4
1007,"Diet yoghurt, Vaalia™, exotic fruits, sweetened with acesulfame K and Splenda",23,NaN,20,5
1008,"Diet yoghurt, Vaalia™, mango, sweetened with acesulfame K and Splenda",23,NaN,20,5
1009,"Diet yoghurt, Vaalia™, mixed berry, sweetened with acesulfame K and Splenda",25,NaN,20,5
1010,"Diet yoghurt, Vaalia™, strawberry, sweetened with acesulfame K and Splenda",23,NaN,20,5
1011,"Diet yoghurt, Vaalia™, vanilla, sweetened with acesulfame K and Splenda",23,NaN,20,5
1012,"Low-fat yoghurt, sugar sweetened, strawberry classic, Yoplait™ Lite",33,NaN,20,7
1013,"Low-fat yoghurt (0.9%), fruit, wild strawberry, Ski d'lite™",31,NaN,20,6
1014,"Low-fat yoghurt, Nestlé Diet, Blueberry",32,NaN,20,6
1015,"Low-fat yoghurt, Nestlé Diet, Mixed Berry ",28,NaN,20,6
1016,"Low-fat yoghurt, Nestlé Diet, Peaches & Cream ",28,NaN,20,6
1017,"Low-fat yoghurt, apricot",42,NaN,20,8
1018,"Low-fat yoghurt, black cherry",41,NaN,20,8
1019,"Low-fat yoghurt, hazelnut",53,NaN,20,11
1020,"Low-fat yoghurt, peach melba",56,NaN,20,11
1021,"Low-fat yoghurt, raspberry",34,NaN,20,7
1022,"Low-fat yoghurt, strawberry",61,NaN,20,12
1023,"Low-fat yoghurt, sugar sweetened, Heavenly Honey flavor, Vaalia",32,NaN,20,6
1024,"Low-fat yoghurt, sugar sweetened, Lemon Crème flavor, Vaalia",43,NaN,20,9
1025,"Low-fat yoghurt, sugar sweetened, Luscious Berries flavor, Vaalia",29,NaN,20,6
1026,"Low-fat yoghurt, sugar sweetened, Passionfruit flavor, Vaalia",32,NaN,20,6
1027,"Low-fat yoghurt, sugar sweetened, Strawberry flavor, Vaalia",28,NaN,20,6
1028,No Added Sugar Passionfruit yoghurt,21,NaN,20,4
1029,No Added Sugar Raspberry yoghurt,21,NaN,20,4
1030,"Reduced-fat yoghurt, apricot & mango",26,NaN,20,5
1031,"Reduced-fat, French vanilla",26,NaN,20,5
1032,"Reduced-fat, strawberry",28,NaN,20,6
1033,"Reduced-fat, strawberry",43,NaN,20,9
1034,"Reduced-fat, berry fruit flavors",25,NaN,20,5
1035,"Reduced-fat, tropical fruit flavors ",37,NaN,20,7
1036,"Reduced-fat, various flavors",27,NaN,20,5
1037,"Reduced-fat, Fruit Salad flavor",32,NaN,20,6
1038,"Non-fat, Honey flavor, sugar sweetened",40,NaN,20,8
1039,"Non-fat, Vanilla flavor, sugar sweetened",40,NaN,20,8
1040,"No Fat berry fruit flavors, artificially sweetened yoghurts",16,NaN,20,3
1041,"No Fat Strawberry Classic flavor, artificially sweetened yoghurts",19,NaN,20,4
1042,"No Fat tropical fruit flavors, artificially sweetened yoghurts",20,NaN,20,4
1043,"No Fat yoghurt, various flavors, artificially sweetened yoghurts",18,NaN,20,4
1044,"Fat-free, Passionfruit yoghurt",27,NaN,20,5
1045,No Added Sugar Natural yoghurt,17,NaN,20,2
1046,"Yoghurt, low fat, natural",35,NaN,20,4
1047,"Yoghurt, probiotic, prune",44,NaN,20,9
1048,"Yoghurt, probiotic, raspberry",45,NaN,20,9
1049,"Probiotic drink, cranberry",56,NaN,20,11
1050,"Probiotic drink, orange",30,NaN,20,6
1051,"Probiotic drink, original",34,NaN,20,7
1052,"Cultured Multivitamin Milk Fruit Drink, Vitalise",24,NaN,20,5
1053,"Yoghurt drink, Wildberry Yoghurt on the Go",19,NaN,50,4
1054,"Yoghurt drink, reduced-fat,  tropical passionfruit",38,NaN,20,8
1055,Control dairy beverage ,70,NaN,20,7
1056,Dairy beverage with soy-soluble polysaccharides (2.5 g fiber),65,NaN,20,7
1057,Dairy beverage with flaxseed gum (2.5 g fiber),54,NaN,20,5
1058,Control dairy pudding (0.25 g fiber),63,NaN,20,6
1059,Dairy pudding with soy-soluble polysaccharides (2.5 g fiber),61,NaN,20,6
1060,Dairy pudding with flaxseed gum (2.5 g fiber),57,NaN,20,6
1061,"Soy milk beverage, Original flavored, President's Choice® Blue Menu™",15,NaN,20,2
1062,"Soy milk, full-fat, with sucrose",31,NaN,20,3
1063,"Soy milk, full-fat (3%), Original, 0 mg calcium, with maltodextrin",44,NaN,20,4
1064,"Soy milk, full-fat (3%), Calciforte, 120 mg calcium, with maltodextrin",36,NaN,20,4
1065,"Soy milk, full-fat (3%), 120 mg calcium, Calciforte",41,NaN,20,4
1066,"Soy milk, Vitasoy® Organic",43,NaN,20,4
1067,"Soy milk, Vitasoy® So Milky Regular",21,NaN,20,2
1068,"Soy milk, low-fat (0.7%), Vitasoy® Light Original",45,NaN,20,5
1069,"Soy milk, reduced-fat (1.5%), Vitasoy® So Milky Lite",17,NaN,20,2
1070,"Soy milk, reduced-fat (1.5%), 120 mg calcium, Light, containing maltodextrin",44,NaN,20,4
1071,"Soy milk, reduced-fat (1.8%), 120 mg calcium, Vitasoy® Premium Vitality+ ",18,NaN,20,2
1072,"Soy Beverage, Chocolate flavored, President's Choice® Blue Menu™",40,NaN,20,8
1073,"Soy Beverage, Vanilla flavored, President's Choice® Blue Menu™",28,NaN,20,6
1074,"Soy milk, reduced-fat (1.5%), Vitasoy® Lush, Chocolate",31,NaN,20,6
1075,"Soy milk, reduced-fat (1.5%), Vitasoy® Lush, Vanilla",31,NaN,20,6
1076,"Soy yoghurt, peach and mango, 2% fat, sugar",50,NaN,20,10
1077,"Apples, raw",44,NaN,15,7
1078,"Apples, canned in juice",42,NaN,15,6
1079,"Sliced Apples, canned, solid packed without juice",42,NaN,15,6
1080,"Apple, dried",29,NaN,15,4
1081,"Apples, dried (Malus pumila Mill.)",43,NaN,15,6
1082,"Apricots, raw, NS",34,NaN,15,5
1083,"Apricots, raw, NS",42,NaN,15,6
1084,Apricot Halves canned in fruit juice ,51,NaN,15,8
1085,"Apricots, dried, ready to eat, bite size",32,NaN,15,5
1086,"Apricots, dried (Armeniaca vulgaris Lam.)",56,NaN,15,8
1087,"Banana, raw",47,NaN,15,7
1088,"Banana, lady finger",49,NaN,15,7
1089,"Banana, lady finger",53,NaN,15,8
1090,"Banana, raw, overripe",57,NaN,15,9
1091,"Blueberries, wild ",53,NaN,15,8
1092,"Breadfruit, peeled, boiled 10 min",47,NaN,15,7
1093,"Breadfruit, roasted on preheated charcoal",72,NaN,15,11
1094,"Jackfruit365 Green Jackfruit, prepared as a porridge with water",65,NaN,15,10
1095,"Cranberries, sweetened, dried ",62,NaN,15,9
1096,"Cherries, sour, pitted, canned ",41,NaN,15,6
1097,"Custard apple, raw, flesh only",54,NaN,15,8
1098,"Dates, Bo ma'an variety ",46,NaN,15,7
